#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1            -0.605864            -0.605864                    0
           2            -0.605469            -0.605666          0.000139724
           3            -0.606336             -0.60589          0.000204668
           4             -0.60569             -0.60584          0.000159492
           5            -0.606102            -0.605892          0.000135978
           6            -0.605933            -0.605899          0.000113484
           7            -0.605718            -0.605873           0.00010016
           8            -0.606206            -0.605915           9.5874e-05
           9            -0.606676            -0.605999          0.000116717
          10            -0.605991            -0.605998          0.000105048
          11            -0.604778            -0.605888          0.000142492
          12            -0.606912            -0.605973          0.000154083
          13            -0.605878            -0.605966          0.000142402
          14            -0.604218            -0.605841          0.000178778
          15            -0.606571            -0.605889          0.000173364
          16             -0.60681            -0.605947          0.000171818
          17            -0.606363            -0.605972          0.000163446
          18            -0.606121             -0.60598          0.000154575
          19            -0.604964            -0.605926          0.000155411
          20            -0.605875            -0.605924          0.000147662
          21             -0.60597            -0.605926          0.000140647
          22            -0.606662            -0.605959          0.000138179
          23            -0.605226            -0.605928          0.000135806
          24            -0.605799            -0.605922          0.000130252
          25            -0.605323            -0.605898          0.000127227
          26            -0.605339            -0.605877          0.000124138
          27            -0.605599            -0.605866          0.000119965
          28            -0.605739            -0.605862          0.000115767
          29            -0.606423            -0.605881          0.000113381
          30            -0.606614            -0.605906          0.000112204
