#   N_BLOCK:  ACCEPTANCE:
           1     0.121199
           2     0.120858
           3     0.120945
           4     0.120941
           5     0.121037
           6      0.12102
           7     0.121117
           8      0.12135
           9     0.121158
          10     0.121151
          11     0.121082
          12     0.121074
          13     0.121029
          14     0.120931
          15     0.120725
          16     0.120661
          17     0.120707
          18     0.120699
          19     0.120787
          20     0.120808
          21     0.120845
          22     0.120894
          23     0.120888
          24     0.120879
          25     0.120948
          26     0.121014
          27     0.120998
          28     0.121016
          29     0.121119
          30     0.121194
