#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1              17.7579              17.7579                    0
           2              18.6098              18.1838              0.30122
           3               20.315              18.8942             0.613794
           4              19.0554              18.9345             0.461666
           5              19.5307              19.0537             0.384422
           6              21.0521              19.3868             0.441662
           7              18.9557              19.3252             0.382837
           8              19.3671              19.3305             0.335018
           9              21.8919              19.6151             0.400852
          10              20.1468              19.6682             0.364277
          11              21.2632              19.8132             0.358859
          12              18.7253              19.7226             0.340214
          13              18.1418               19.601             0.335069
          14              19.3204              19.5809             0.311735
          15              20.7459              19.6586             0.300471
          16              19.5868              19.6541             0.281725
          17              18.7021              19.5981             0.270661
          18              19.2274              19.5775             0.256407
          19              19.3982              19.5681             0.243085
          20              19.8278              19.5811             0.231278
          21              18.8657               19.547             0.222759
          22              18.9629              19.5205              0.21421
          23              18.4887              19.4756             0.209541
          24              18.8632              19.4501             0.202357
          25               19.892              19.4678             0.195034
          26              18.8202              19.4429             0.189116
          27              19.2973              19.4375             0.182189
          28              19.1229              19.4262             0.176028
          29              18.5242              19.3951             0.172684
          30              19.4538              19.3971             0.166939
