#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1            -0.560187            -0.560187                    0
           2            -0.561006            -0.560596          0.000289348
           3            -0.561318            -0.560837          0.000275361
           4            -0.560392            -0.560726          0.000227895
           5             -0.56045            -0.560671          0.000188892
           6            -0.561396            -0.560791           0.00019225
           7             -0.56168            -0.560918          0.000202397
           8            -0.560718            -0.560893          0.000178635
           9            -0.561527            -0.560964          0.000172109
          10            -0.560396            -0.560907          0.000163997
          11            -0.560882            -0.560905          0.000149104
          12            -0.562224            -0.561015          0.000172509
          13             -0.55983            -0.560924          0.000181738
          14             -0.56107            -0.560934          0.000169059
          15            -0.561313            -0.560959          0.000159663
          16             -0.56141            -0.560987          0.000152144
          17             -0.56096            -0.560986          0.000143203
          18             -0.56088             -0.56098          0.000135368
          19            -0.560594             -0.56096          0.000129755
          20            -0.561008            -0.560962           0.00012329
          21            -0.560326            -0.560932          0.000121087
          22            -0.561533            -0.560959          0.000118625
          23            -0.560519             -0.56094          0.000114999
          24            -0.560452             -0.56092           0.00011199
          25            -0.560327            -0.560896          0.000109989
          26            -0.559626            -0.560847          0.000116092
          27            -0.560766            -0.560844          0.000111832
          28             -0.56053            -0.560833          0.000108398
          29            -0.561106            -0.560842          0.000105067
          30            -0.561422            -0.560862          0.000103329
