#   N_BLOCK:  ACCEPTANCE:
           1     0.439509
           2     0.439452
           3     0.439319
           4     0.439347
           5     0.439343
           6     0.439231
           7     0.439136
           8     0.439156
           9     0.439092
          10     0.439119
          11     0.439091
          12     0.439041
          13     0.439089
          14     0.439077
          15      0.43911
          16     0.439067
          17     0.439052
          18     0.439078
          19     0.439104
          20     0.439109
          21     0.439125
          22     0.439093
          23     0.439091
          24     0.439104
          25     0.439119
          26      0.43916
          27     0.439155
          28     0.439163
          29     0.439151
          30     0.439122
