#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1              13.7967              13.7967                    0
           2              13.8126              13.8046           0.00561314
           3              13.7413              13.7835             0.017633
           4              13.7546              13.7763            0.0146307
           5              13.7408              13.7692            0.0133161
           6              13.8273              13.7789            0.0141895
           7               13.847              13.7886            0.0151382
           8              13.7831              13.7879            0.0132618
           9              13.7874              13.7879            0.0117884
          10              13.5764              13.7667            0.0226958
          11              14.0372              13.7913            0.0312322
          12              13.7529              13.7881            0.0287932
          13              13.7549              13.7856            0.0266917
          14              13.8121              13.7875            0.0248521
          15              13.7276              13.7835            0.0235138
          16              13.7008              13.7783            0.0226047
          17              13.7501              13.7766            0.0213357
          18               13.833              13.7798             0.020379
          19              13.8838              13.7852            0.0200278
          20              13.7296              13.7825            0.0192189
          21               13.771              13.7819            0.0183114
          22              13.7578              13.7808            0.0175118
          23              13.7786              13.7807            0.0167507
          24              13.7323              13.7787            0.0161737
          25              13.7587              13.7779            0.0155466
          26              13.7913              13.7784            0.0149573
          27               13.804              13.7794            0.0144332
          28              13.7734              13.7792            0.0139193
          29              13.5123                13.77            0.0161985
          30              13.7657              13.7698            0.0156591
