#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              72.9845              72.9845                    0
           2              73.1624              73.0734            0.0629127
           3              73.7838              73.3102             0.197819
           4              74.5208              73.6129             0.301174
           5              73.8164              73.6536             0.243675
           6              74.6225              73.8151             0.250933
           7              73.5819              73.7818             0.217285
           8              74.3874              73.8575             0.202886
           9              74.1771               73.893             0.183425
          10              72.3813              73.7418             0.218672
          11              75.0398              73.8598             0.228423
          12              73.6536              73.8426             0.210033
          13              73.5665              73.8214             0.194948
          14               73.885              73.8259             0.181076
          15              74.3944              73.8638             0.172925
          16              72.7037              73.7913             0.176666
          17              73.4862              73.7734             0.167183
          18              74.3052              73.8029             0.160484
          19              73.5658              73.7904             0.152522
          20              73.8977              73.7958              0.14499
          21              73.4034              73.7771             0.139285
          22              73.2042              73.7511             0.135367
          23              73.5791              73.7436             0.129687
          24              73.3102              73.7255             0.125535
          25              73.9216              73.7334             0.120758
          26               73.833              73.7372             0.116174
          27              72.9887              73.7095             0.115131
          28              73.9893              73.7195             0.111452
          29              74.2878              73.7391             0.109319
          30              74.0299              73.7488             0.106104
