#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              106.278              106.278                    0
           2              105.316              105.797             0.340136
           3              107.285              106.293             0.463924
           4              107.213              106.523             0.400947
           5               105.36              106.291             0.382369
           6              106.883              106.389             0.331165
           7               105.61              106.278             0.302001
           8              106.363              106.289              0.26444
           9              108.559              106.541             0.334422
          10              105.191              106.406              0.32711
          11              105.841              106.355             0.301374
          12              108.445              106.529             0.322693
          13              104.996              106.411             0.318673
          14              106.816               106.44             0.297221
          15              107.566              106.515             0.286733
          16              105.871              106.475             0.271621
          17              105.651              106.426             0.259932
          18               107.95              106.511             0.258911
          19              106.273              106.498             0.245587
          20               107.37              106.542              0.23714
          21              106.675              106.548             0.225932
          22              109.312              106.674             0.248148
          23              106.399              106.662             0.237647
          24              106.845               106.67             0.227868
          25              105.522              106.624             0.223331
          26                106.8               106.63             0.214845
          27              107.096              106.648             0.207578
          28              107.236              106.669             0.201226
          29              105.657              106.634             0.197287
          30              106.925              106.644             0.190949
