#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1            -0.550483            -0.550483                    0
           2            -0.550348            -0.550416          4.78004e-05
           3            -0.550333            -0.550388            3.903e-05
           4            -0.548854            -0.550005          0.000333322
           5            -0.550231             -0.55005          0.000269721
           6            -0.550699            -0.550158          0.000245518
           7            -0.550619            -0.550224          0.000219101
           8            -0.550422            -0.550249          0.000193112
           9            -0.551612              -0.5504           0.00022329
          10            -0.549661            -0.550326          0.000212853
          11            -0.550085            -0.550304          0.000194632
          12             -0.55124            -0.550382          0.000193401
          13             -0.54995            -0.550349          0.000181355
          14            -0.550673            -0.550372          0.000169869
          15            -0.550975            -0.550412          0.000163231
          16            -0.551044            -0.550452           0.00015773
          17            -0.550183            -0.550436          0.000149241
          18            -0.551341            -0.550486          0.000149174
          19            -0.549824            -0.550451          0.000145339
          20            -0.550418             -0.55045          0.000138081
          21            -0.549778            -0.550418          0.000135157
          22            -0.551485            -0.550466          0.000137439
          23            -0.550284            -0.550458          0.000131692
          24            -0.550391            -0.550456          0.000126235
          25            -0.549674            -0.550424          0.000124994
          26            -0.549282             -0.55038           0.00012768
          27            -0.550138            -0.550371          0.000123268
          28            -0.550162            -0.550364          0.000119091
          29             -0.55123            -0.550394          0.000118673
          30            -0.550271             -0.55039          0.000114788
