#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1               1.2183               1.2183                    0
           2               1.7532              1.48575             0.189116
           3               1.9218               1.6311             0.173147
           4               2.0583               1.7379             0.159431
           5               1.9294               1.7762             0.132065
           6               1.6146              1.74927             0.112767
           7               1.6746               1.7386            0.0971609
           8               2.0229              1.77414            0.0912838
           9               1.9383              1.79238            0.0829436
          10               1.5592              1.76906            0.0778579
          11               2.2471              1.81252            0.0820166
          12               1.7453              1.80692            0.0753729
          13               1.7365               1.8015            0.0697693
          14               1.7355              1.79679            0.0649449
          15               1.5697              1.78165            0.0623548
          16               1.3358              1.75378            0.0643836
          17               1.1542              1.71851            0.0695893
          18               2.0275              1.73568            0.0678074
          19               2.0499              1.75222            0.0662247
          20               1.6771              1.74846            0.0630199
          21               1.0715              1.71622             0.067764
          22               2.1901              1.73776            0.0680211
          23               1.4851              1.72678            0.0659448
          24               1.6195              1.72231            0.0633484
          25               1.6189              1.71817            0.0609493
          26               1.1889              1.69782            0.0619113
          27               2.1287              1.71377            0.0616408
          28               1.6945              1.71309            0.0594432
          29               1.4237              1.70311             0.058225
          30               1.7042              1.70314            0.0562842
          31               1.8815               1.7089            0.0547618
          32                1.406              1.69943            0.0538624
          33               1.6722              1.69861            0.0522365
          34               1.7187               1.6992            0.0507035
          35               2.3028              1.71644            0.0521052
          36               1.8139              1.71915            0.0507281
          37               1.5361               1.7142            0.0495978
          38                1.801              1.71649            0.0483451
          39               2.1829              1.72845            0.0485622
          40               2.0382              1.73619            0.0479616
