#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1              2.00348              2.00348                    0
           2              2.15862              2.08105            0.0548503
           3              1.88238              2.01483             0.065275
           4              1.83388              1.96959            0.0627015
           5              1.83422              1.94252            0.0557005
           6              2.05582               1.9614            0.0495148
           7              2.13286              1.98589            0.0481199
           8              2.23832              2.01745            0.0514196
           9              1.94454              2.00935              0.04634
          10              1.95174              2.00359            0.0420626
          11              1.92112              1.99609            0.0389011
          12              1.70704                1.972            0.0424669
          13              2.05096              1.97808            0.0396322
          14              2.19804              1.99379             0.039794
          15              1.63432              1.96982            0.0437661
          16              1.91894              1.96664            0.0411461
          17              2.26312              1.98408            0.0422604
          18              1.99596              1.98474            0.0399177
          19              2.08104              1.98981            0.0381372
          20              1.94264              1.98745            0.0363032
          21              2.04526               1.9902            0.0346787
          22              2.01524              1.99134             0.033121
          23              1.94266              1.98923            0.0317486
          24              2.00532               1.9899            0.0304328
          25              2.16498               1.9969            0.0300105
          26              2.12982              2.00201            0.0292884
          27              1.80712              1.99479            0.0290796
          28              2.13774               1.9999            0.0284856
          29               1.9915              1.99961            0.0275048
          30              1.91878              1.99692            0.0267196
