#   N_BLOCK:  ACCEPTANCE:
           1     0.072474
           2    0.0717151
           3    0.0713981
           4    0.0711899
           5    0.0713067
           6    0.0714364
           7    0.0714759
           8    0.0715418
           9    0.0713923
          10    0.0712752
          11    0.0711203
          12      0.07116
          13    0.0710171
          14    0.0709971
          15    0.0708582
          16    0.0708123
          17    0.0708721
          18    0.0708956
          19    0.0709082
          20    0.0709421
          21     0.070973
          22     0.071057
          23    0.0710288
          24    0.0710377
          25    0.0711285
          26    0.0710602
          27    0.0711197
          28    0.0711352
          29    0.0711822
          30    0.0712218
