#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1              29.5002              29.5002                    0
           2              31.4697              30.4849             0.696323
           3              31.3069              30.7589             0.515309
           4              32.2273               31.126             0.500445
           5              32.0301              31.3068              0.43179
           6              33.0505              31.5974             0.447053
           7              31.7333              31.6169             0.383609
           8              32.0673              31.6732             0.339765
           9              34.2077              31.9548             0.402131
          10              33.8112              32.1404             0.402494
          11              31.8491              32.1139             0.366774
          12              31.2056              32.0382             0.343932
          13              32.7063              32.0896             0.321292
          14              30.7093               31.991             0.313105
          15              30.8914              31.9177              0.30069
          16               28.146               31.682             0.362716
          17              33.1594              31.7689             0.351638
          18               33.032              31.8391             0.339031
          19              33.4941              31.9262             0.332189
          20              29.9402              31.8269             0.330088
          21              32.5496              31.8613             0.316158
          22              31.1891              31.8308              0.30326
          23               30.852              31.7882             0.293045
          24              31.8671              31.7915             0.280853
          25              31.0288               31.761             0.271271
          26              32.5727              31.7922             0.262628
          27              32.8562              31.8316             0.255841
          28              33.0111              31.8737             0.250148
          29              31.3014               31.854             0.242299
          30               33.122              31.8963             0.237881
