#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1               0.9329               0.9329                    0
           2                1.403              1.16795             0.166205
           3               1.8509               1.3956             0.216396
           4               1.8472               1.5085             0.189473
           5               1.6853              1.54386             0.154843
           6                1.239              1.49305             0.137119
           7               1.2836              1.46313             0.120751
           8               1.8198              1.50771              0.11359
           9               1.6977              1.52882             0.102912
          10                1.153              1.49124            0.0992459
          11                1.955               1.5334            0.0987733
          12               1.5368              1.53368            0.0905426
          13                1.438              1.52632            0.0838764
          14               1.4559              1.52129            0.0780359
          15               1.3172              1.50769            0.0740102
          16                1.151              1.48539            0.0726645
          17               0.9675              1.45493             0.074503
          18               1.6117              1.46364            0.0708712
          19               1.7155              1.47689            0.0683696
          20               1.3484              1.47047            0.0652523
          21               0.9192              1.44422            0.0672183
          22               1.8168              1.46115             0.066262
          23               1.5821              1.46641            0.0635894
          24               1.3041              1.45965            0.0612984
          25               1.3401              1.45487            0.0590327
          26               1.1519              1.44322            0.0579009
          27               1.6904              1.45237            0.0564755
          28               1.2432               1.4449            0.0549504
          29               1.1948              1.43628             0.053728
          30               1.4336              1.43619            0.0519372
          31               1.5603              1.44019            0.0504159
          32               1.3174              1.43635            0.0489862
          33               1.2921              1.43198            0.0476964
          34               1.3769              1.43036            0.0463211
          35               1.8824              1.44328            0.0467635
          36               1.6105              1.44792            0.0456946
          37               1.1804              1.44069             0.045028
          38               1.5041              1.44236             0.043874
          39               1.8297              1.45229            0.0438588
          40                1.655              1.45736            0.0430541
