#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1              10.8446              10.8446                    0
           2              10.5767              10.7106            0.0946986
           3              10.4495              10.6236            0.0950659
           4              10.2946              10.5413             0.100782
           5              10.2408              10.4812            0.0969024
           6               10.591              10.4995            0.0824592
           7              10.3929              10.4843            0.0720736
           8              10.6899                10.51            0.0674915
           9                10.54              10.5133            0.0600748
          10              10.5603               10.518            0.0542504
          11              10.3578              10.5034            0.0512371
          12              10.4512              10.4991            0.0471521
          13              10.4131              10.4925            0.0439871
          14              10.3371              10.4814            0.0422228
          15              10.5624              10.4868            0.0397524
          16              10.4496              10.4845            0.0373356
          17              10.4863              10.4846            0.0351396
          18              10.5913              10.4905             0.033684
          19              10.5234              10.4922            0.0319556
          20              10.2705              10.4811            0.0322243
          21              10.4978              10.4819            0.0306996
          22               10.561              10.4855            0.0295138
          23              10.4508               10.484            0.0282692
          24              10.3421              10.4781            0.0277032
          25              10.3644              10.4736             0.026966
          26               10.372              10.4696            0.0262103
          27              10.4823              10.4701            0.0252437
          28              10.3889              10.4672             0.024508
          29              10.3355              10.4627            0.0240802
          30              10.3958              10.4604            0.0233806
          31                10.39              10.4582            0.0227365
          32              10.3618              10.4552            0.0222247
          33              10.2903              10.4502            0.0221056
          34              10.3474              10.4471            0.0216612
          35               10.374               10.445             0.021143
          36              10.3457              10.4423             0.020735
          37              10.2722              10.4377            0.0206778
          38              10.2794              10.4335            0.0205488
          39                10.53               10.436            0.0201704
          40              10.4954              10.4375            0.0197207
