#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              105.421              105.421                    0
           2              105.073              105.247             0.123125
           3              107.411              105.968             0.594523
           4              106.865              106.193             0.486365
           5              106.218              106.198             0.389119
           6              107.558              106.424             0.384658
           7               107.62              106.595             0.365649
           8              109.189              106.919             0.440822
           9              107.406              106.973             0.395148
          10              105.569              106.833             0.379781
          11              107.737              106.915             0.354045
          12              106.694              106.897             0.325023
          13               106.66              106.879             0.300532
          14              105.635               106.79              0.29189
          15              108.416              106.898             0.291863
          16               104.47              106.746             0.310588
          17              105.319              106.662              0.30345
          18              107.201              106.692             0.288061
          19              107.398              106.729             0.275286
          20              106.448              106.715             0.261882
          21              106.999              106.729              0.24976
          22              107.098              106.746             0.238971
          23               105.95              106.711             0.231069
          24              104.939              106.637             0.232934
          25              107.864              106.686             0.228726
          26              107.836              106.731             0.224164
          27              106.553              106.724             0.215958
          28              107.572              106.754              0.21036
          29              108.725              106.822               0.2138
          30               108.05              106.863             0.210556
