#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1              2.08578              2.08578                    0
           2              2.25498              2.17038            0.0598212
           3              2.02746              2.12274            0.0557093
           4              1.95736               2.0814            0.0550254
           5              1.96184              2.05748            0.0489405
           6              2.13546              2.07048            0.0424743
           7              2.32108              2.10628             0.049234
           8              2.32844              2.13405            0.0503054
           9              2.11422              2.13185            0.0447642
          10              2.03564              2.12223            0.0413087
          11               2.0915              2.11943            0.0376476
          12              1.78102              2.09123            0.0438177
          13              2.03466              2.08688            0.0406626
          14              2.29178              2.10152            0.0403061
          15              1.75278              2.07827            0.0438141
          16              2.00784              2.07387            0.0412962
          17               2.4142              2.09388            0.0434495
          18              2.13766              2.09632            0.0411036
          19              2.17404              2.10041            0.0391433
          20               2.0103               2.0959            0.0374445
          21              2.16924              2.09939            0.0358239
          22              2.13024               2.1008             0.034223
          23              2.07714              2.09977            0.0327505
          24              2.14886              2.10181            0.0314497
          25              2.28534              2.10915            0.0310367
          26              2.23784               2.1141             0.030235
          27               1.9923              2.10959            0.0294498
          28                2.241              2.11429            0.0287696
          29              2.06538               2.1126            0.0278269
          30               1.9571              2.10742            0.0273778
