#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1            -0.762677            -0.762677                    0
           2             -0.76126            -0.761968          0.000500914
           3            -0.762154             -0.76203          0.000337758
           4            -0.761595            -0.761922          0.000270275
           5            -0.762311               -0.762          0.000227174
           6            -0.761711            -0.761951          0.000194328
           7            -0.761264            -0.761853          0.000189767
           8            -0.761142            -0.761764           0.00018573
           9            -0.761138            -0.761695          0.000177668
          10            -0.762054            -0.761731          0.000163502
          11             -0.76177            -0.761734          0.000148677
          12            -0.760727             -0.76165          0.000158206
          13            -0.760788            -0.761584          0.000159335
          14            -0.762108            -0.761621          0.000152287
          15            -0.762457            -0.761677          0.000151979
          16            -0.762109            -0.761704          0.000144856
          17            -0.763383            -0.761803          0.000166642
          18             -0.76141            -0.761781          0.000158804
          19            -0.760698            -0.761724          0.000160342
          20            -0.759969            -0.761636            0.0001747
          21            -0.761534            -0.761631          0.000166448
          22            -0.760217            -0.761567          0.000170852
          23            -0.762223            -0.761596          0.000165788
          24            -0.760472            -0.761549          0.000165359
          25            -0.761698            -0.761555          0.000158852
          26             -0.76205            -0.761574          0.000153878
          27            -0.762699            -0.761616           0.00015372
          28            -0.762417            -0.761644           0.00015087
          29            -0.761875            -0.761652          0.000145878
          30            -0.762874            -0.761693          0.000146588
