#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              367.879              367.879                    0
           2              359.729              363.804              2.88135
           3              361.982              363.197              1.98387
           4              370.046              364.909              2.10072
           5              376.552              367.238              2.67624
           6              368.129              367.386              2.23432
           7              372.202              368.074              2.01828
           8              367.538              368.007              1.76711
           9              367.641              367.966              1.57123
          10              360.808              367.251              1.56873
          11               371.65               367.65              1.47623
          12              363.263              367.285              1.39775
          13              372.359              367.675              1.34363
          14              377.215              368.357              1.40989
          15              366.509              368.233              1.32127
          16              369.461               368.31              1.24091
          17              383.481              369.203               1.4538
          18              370.778               369.29              1.37566
          19                373.9              369.533              1.32448
          20              355.798              368.846              1.42521
          21              378.748              369.317              1.43323
          22              363.283              369.043              1.39408
          23              377.892              369.428              1.38555
          24              367.866              369.363              1.32934
          25              380.521              369.809              1.34901
          26              371.638              369.879              1.29896
          27              369.523              369.866              1.25092
          28              373.732              370.004              1.21384
          29              369.975              370.003              1.17198
          30               380.53              370.354              1.18428
