#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1              7.59386              7.59386                    0
           2               6.7239              7.15888             0.307577
           3              7.68308              7.33361             0.249801
           4              7.21164              7.30312             0.189203
           5              6.89302               7.2211             0.168203
           6              7.33792              7.24057             0.141292
           7              7.90124              7.33495             0.149339
           8              7.40068              7.34317             0.130898
           9               7.1484              7.32153             0.118129
          10              6.25194              7.21457             0.146967
          11              6.43568              7.14376             0.149695
          12              7.14306               7.1437              0.13722
          13              7.57538              7.17691             0.130621
          14              7.14788              7.17483             0.121307
          15               6.7499              7.14651             0.116481
          16              7.84948              7.19044             0.117195
          17              7.66502              7.21836             0.113577
          18              7.24874              7.22005              0.10728
          19               7.5166              7.23565             0.102763
          20               7.3521              7.24148            0.0977893
          21              7.26208              7.24246            0.0931376
          22              7.13316              7.23749            0.0890365
          23              7.14422              7.23343            0.0852576
          24              7.82598              7.25812            0.0852051
          25               7.9259              7.28483            0.0858818
          26              7.23394              7.28288            0.0826009
          27              6.59416              7.25737            0.0833872
          28               8.5239               7.3026            0.0918619
          29               6.2223              7.26535            0.0959505
          30              6.85292               7.2516            0.0937319
