#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1              20.7075              20.7075                    0
           2              20.7159              20.7117            0.0029501
           3              21.2794              20.9009             0.154531
           4              20.9716              20.9186             0.116902
           5              20.7446              20.8838            0.0985674
           6              20.8927              20.8853            0.0821506
           7              20.9496              20.8945             0.070927
           8              20.9067               20.896            0.0620775
           9              20.9804              20.9054            0.0558848
          10              20.9795              20.9128             0.050786
          11              20.9672              20.9177            0.0464094
          12                20.77              20.9054            0.0441439
          13              21.3084              20.9364            0.0504701
          14              21.3759              20.9678            0.0557807
          15              21.1483              20.9798            0.0533435
          16               21.187              20.9928            0.0515563
          17              21.0016              20.9933            0.0485262
          18              21.0064               20.994            0.0458357
          19              21.2578              21.0079            0.0454773
          20              20.8712              21.0011            0.0437142
          21              20.8914              20.9959            0.0419435
          22              20.7984              20.9869            0.0409857
          23              20.9856              20.9868            0.0392037
          24              21.1246              20.9926             0.037988
          25              20.6953              20.9807            0.0382836
          26               20.786              20.9732            0.0375365
          27              20.9786              20.9734            0.0361467
          28              21.0006              20.9744            0.0348688
          29              21.0539              20.9771            0.0337742
          30              21.0712              20.9802            0.0327937
