#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              110.872              110.872                    0
           2              110.513              110.693             0.126972
           3              113.132              111.506             0.669174
           4              112.171              111.672             0.522162
           5              112.515              111.841             0.444117
           6              113.198              112.067             0.423785
           7              113.645              112.292              0.41896
           8              115.268              112.664             0.505443
           9              112.705              112.669             0.449303
          10              112.091              112.611             0.408066
          11              113.137              112.659             0.373764
          12              112.348              112.633             0.343513
          13              112.865              112.651             0.317552
          14              111.759              112.587             0.301199
          15              114.457              112.712             0.305821
          16               109.94              112.539             0.332165
          17                111.9              112.501             0.314741
          18              112.619              112.508             0.297324
          19              112.613              112.513             0.281727
          20              112.278              112.501             0.267887
          21              113.107               112.53             0.256679
          22              113.318              112.566             0.247495
          23               112.03              112.543              0.23783
          24              111.341              112.493             0.233132
          25              113.699              112.541             0.228747
          26              113.845              112.591             0.225378
          27              112.364              112.583             0.217187
          28              113.839              112.627             0.214017
          29              114.981              112.709             0.221491
          30              114.624              112.772             0.223121
