#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1              21.2741              21.2741                    0
           2              21.6046              21.4394             0.116841
           3              21.7198              21.5328             0.109042
           4              21.4957              21.5235            0.0821762
           5              21.6381              21.5465            0.0688592
           6              20.9526              21.4475             0.107032
           7               21.103              21.3983             0.102433
           8              22.1363              21.4905             0.124417
           9              22.2342              21.5732             0.135279
          10              21.2689              21.5427             0.125127
          11              22.2552              21.6075             0.129435
          12              21.7865              21.6224             0.119504
          13              21.2217              21.5916             0.114218
          14              21.6457              21.5954             0.106125
          15              22.3187              21.6437             0.109456
          16              21.9061              21.6601             0.103837
          17              21.8131              21.6691            0.0981179
          18              21.4393              21.6563            0.0934937
          19              21.7127              21.6593            0.0886201
          20              22.3455              21.6936            0.0905879
          21              21.5321              21.6859            0.0866001
          22              22.3175              21.7146            0.0872923
          23              21.9587              21.7252            0.0841397
          24              21.9613               21.735             0.081207
          25              22.5248              21.7666            0.0838791
          26                21.19              21.7445            0.0835331
          27              22.7969              21.7834            0.0890708
          28              21.3538              21.7681            0.0872016
          29              22.1932              21.7828            0.0854178
          30               21.446              21.7715            0.0833051
