#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1              7.91768              7.91768                    0
           2              8.56026              8.23897             0.227186
           3               9.1098              8.52925              0.28127
           4              7.88514              8.36822              0.25288
           5              8.46438              8.38745             0.203034
           6              7.98818              8.32091              0.17977
           7              7.76524              8.24153             0.170717
           8               8.5163              8.27587             0.152794
           9              8.95366              8.35118             0.153256
          10              8.55316              8.37138             0.139255
          11               8.0981              8.34654             0.128793
          12              8.20186              8.33448             0.118623
          13              8.46022              8.34415             0.109892
          14              8.42618              8.35001             0.102198
          15               7.9719               8.3248            0.0984449
          16               8.5882              8.34127            0.0936584
          17              8.16264              8.33076            0.0887365
          18              8.90576               8.3627            0.0893719
          19              7.88348              8.33748            0.0881553
          20               8.3109              8.33615            0.0837576
          21              8.15404              8.32748            0.0802168
          22              8.86144              8.35175            0.0801583
          23               8.5938              8.36227            0.0773609
          24              8.22058              8.35637            0.0743625
          25              7.88656              8.33758            0.0737243
          26              8.15144              8.33042            0.0712355
          27              8.53838              8.33812            0.0690123
          28              8.18164              8.33253            0.0667735
          29              8.35786              8.33341            0.0644767
          30              8.27504              8.33146            0.0623568
