#   N_BLOCK:  ACCEPTANCE:
           1     0.222334
           2     0.222442
           3     0.222176
           4     0.222041
           5     0.222103
           6     0.222155
           7     0.222194
           8     0.222155
           9     0.222116
          10     0.222156
          11     0.222147
          12     0.222142
          13     0.222042
          14     0.222029
          15      0.22202
          16      0.22196
          17     0.221972
          18     0.221916
          19     0.221935
          20     0.221894
          21     0.221852
          22     0.221882
          23     0.221923
          24     0.221955
          25     0.221951
          26     0.221974
          27     0.221992
          28     0.222061
          29     0.222068
          30     0.222048
