#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1              20.9925              20.9925                    0
           2               20.662              20.8273             0.116872
           3              20.5991              20.7512            0.0996261
           4              19.9641              20.5544             0.186085
           5              20.2024               20.484             0.161638
           6              20.5174              20.4896             0.134794
           7              20.4898              20.4896             0.115538
           8              20.7028              20.5163             0.104122
           9              21.1567              20.5874             0.114312
          10              20.3925              20.5679             0.104529
          11              21.0252              20.6095              0.10296
          12              20.5473              20.6043            0.0945106
          13              21.3301              20.6601              0.10241
          14              20.0653              20.6177             0.103533
          15              21.2911              20.6625             0.105919
          16              20.9284              20.6792             0.100594
          17              19.9929              20.6388             0.102458
          18              20.0006              20.6033             0.102718
          19              21.7748               20.665             0.114329
          20              20.4806              20.6558             0.108983
          21              21.0843              20.6762             0.105686
          22              20.9348              20.6879             0.101534
          23               20.718              20.6892            0.0971278
          24              21.1349              20.7078            0.0948389
          25               20.691              20.7071            0.0910477
          26              20.4611              20.6977            0.0880364
          27              20.3974              20.6865            0.0854755
          28              20.7985              20.6905            0.0825163
          29              20.3845                20.68            0.0803431
          30              20.4016              20.6707            0.0781989
