#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1              15.0613              15.0613                    0
           2              15.1211              15.0912            0.0211346
           3              15.1362              15.1062            0.0186765
           4              15.2134               15.133            0.0271008
           5              15.1445              15.1353            0.0217777
           6              15.0367              15.1189            0.0235409
           7                15.21              15.1319            0.0235043
           8              15.0858              15.1261            0.0212606
           9              15.1517               15.129            0.0190872
          10               15.065              15.1226             0.018218
          11              15.1432              15.1244            0.0166579
          12              15.2762              15.1371            0.0194903
          13              15.2086              15.1426             0.018752
          14              15.2009              15.1468            0.0178696
          15              15.1594              15.1476            0.0166981
          16              15.1226               15.146            0.0157277
          17              15.1732              15.1476            0.0148835
          18              15.1512              15.1478            0.0140579
          19              15.0862              15.1446            0.0136872
          20               15.157              15.1452             0.013017
          21              15.0556              15.1409            0.0130785
          22              15.0393              15.1363            0.0132744
          23              15.3348              15.1449            0.0152475
          24              15.2819              15.1507            0.0156438
          25              14.9831               15.144            0.0163914
          26              15.2141              15.1467            0.0159816
          27              15.2363                15.15            0.0157306
          28              14.9668              15.1434            0.0164727
          29              15.2468               15.147             0.016286
          30              15.2276              15.1497            0.0159631
