#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1              2.80696              2.80696                    0
           2              2.81974              2.81335           0.00451841
           3              2.48772              2.70481            0.0886764
           4              2.51128              2.65642            0.0786054
           5              2.43534              2.61221             0.074287
           6              2.68062              2.62361            0.0627747
           7              2.87884              2.66007            0.0635193
           8              2.96686              2.69842            0.0661502
           9              2.56834              2.68397            0.0603585
          10               2.4666              2.66223             0.058105
          11               2.6372              2.65995            0.0528672
          12              2.34128               2.6334            0.0547265
          13               2.4607              2.62011            0.0521042
          14              2.81426              2.63398             0.050194
          15              2.41292              2.61924            0.0489635
          16              2.52518              2.61336            0.0462549
          17               2.8661              2.62823             0.045861
          18               2.6542              2.62967            0.0433358
          19               2.7958              2.63842            0.0419277
          20              2.44264              2.62863            0.0409581
          21              2.65708              2.62998            0.0390301
          22              2.76302              2.63603            0.0377216
          23              2.63288              2.63589            0.0360818
          24              2.79598              2.64256            0.0351895
          25               2.9724              2.65576            0.0361707
          26              2.76328              2.65989            0.0350152
          27               2.5117               2.6544            0.0341458
          28              2.80876              2.65992            0.0333683
          29              2.59008              2.65751            0.0323045
          30              2.38126               2.6483            0.0325136
