#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1            -0.593686            -0.593686                    0
           2            -0.594199            -0.593943          0.000181302
           3            -0.594831            -0.594239          0.000270319
           4             -0.59421            -0.594232          0.000202833
           5            -0.593633            -0.594112          0.000194453
           6            -0.594798            -0.594226          0.000192781
           7             -0.59401            -0.594196          0.000167692
           8             -0.59486            -0.594279           0.00016603
           9            -0.594663            -0.594321          0.000152983
          10            -0.594902            -0.594379          0.000148282
          11            -0.594611              -0.5944          0.000136291
          12            -0.593891            -0.594358          0.000131374
          13            -0.593124            -0.594263          0.000151734
          14            -0.593957            -0.594241          0.000142465
          15            -0.594181            -0.594237          0.000133024
          16            -0.594051            -0.594226          0.000125217
          17            -0.593783              -0.5942          0.000120524
          18            -0.595139            -0.594252          0.000124623
          19            -0.593811            -0.594229          0.000120201
          20            -0.594205            -0.594227          0.000114197
          21            -0.594472            -0.594239          0.000109351
          22            -0.594469            -0.594249          0.000104879
          23            -0.593677            -0.594225          0.000103232
          24            -0.593305            -0.594186          0.000105805
          25            -0.595199            -0.594227          0.000109056
          26            -0.593633            -0.594204          0.000107227
          27            -0.593972            -0.594195          0.000103599
          28            -0.594669            -0.594212           0.00010127
          29             -0.59443             -0.59422          9.80548e-05
          30            -0.593929             -0.59421          9.52646e-05
