#   N_BLOCK:  ACCEPTANCE:
           1     0.405901
           2     0.405926
           3     0.405655
           4     0.405797
           5     0.405776
           6     0.405709
           7     0.405709
           8     0.405698
           9     0.405653
          10       0.4057
          11     0.405744
          12     0.405672
          13     0.405666
          14     0.405709
          15     0.405692
          16     0.405667
          17     0.405643
          18      0.40567
          19     0.405724
          20     0.405715
          21     0.405714
          22     0.405646
          23     0.405652
          24     0.405648
          25     0.405652
          26     0.405675
          27     0.405672
          28     0.405671
          29     0.405658
          30     0.405649
