#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1               183.68               183.68                    0
           2               184.46               184.07             0.275775
           3              181.639               183.26             0.686619
           4              171.064              180.211              2.69018
           5              173.948              178.958               2.4263
           6              184.072               179.81              2.16643
           7              185.605              180.638              2.00891
           8               188.44              181.613              1.98044
           9              178.497              181.267              1.79041
          10              185.431              181.684              1.65909
          11              175.393              181.112              1.60379
          12              181.314              181.129              1.47023
          13              187.702              181.634              1.44147
          14              182.729              181.712              1.34063
          15              185.006              181.932              1.26911
          16              178.449              181.714              1.20831
          17              179.476              181.583              1.14438
          18              182.311              181.623              1.08152
          19              173.472              181.194              1.10641
          20              179.599              181.114              1.05396
          21              187.496              181.418              1.04667
          22              188.955              181.761              1.05367
          23              180.149              181.691              1.01018
          24              183.635              181.772             0.971336
          25               176.64              181.566             0.953929
          26              181.651               181.57             0.917245
          27              177.821              181.431             0.893719
          28              182.007              181.451             0.862037
          29              180.748              181.427             0.832653
          30              184.461              181.528             0.811016
          31              180.218              181.486             0.785954
          32              178.157              181.382             0.768247
          33              177.714              181.271             0.752966
          34              179.424              181.217             0.732777
          35              186.443              181.366             0.726896
          36              174.453              181.174             0.731628
          37              181.505              181.183             0.711909
          38              179.998              181.152             0.693856
          39              183.835               181.22             0.679469
          40              181.931              181.238             0.662714
