#   N_BLOCK:  ACCEPTANCE:
           1     0.347184
           2     0.348366
           3     0.349015
           4     0.349554
           5     0.349614
           6      0.34953
           7      0.34934
           8     0.349517
           9     0.349933
          10     0.349919
          11     0.349962
          12     0.349868
          13     0.349672
          14     0.349854
          15     0.349868
          16     0.349985
          17     0.349956
          18     0.349885
          19     0.349931
          20     0.350033
          21     0.349918
          22     0.349845
          23     0.349877
          24     0.349846
          25     0.349746
          26     0.349737
          27     0.349802
          28     0.349726
          29     0.349696
          30     0.349654
          31     0.349671
          32     0.349632
          33     0.349691
          34     0.349684
          35     0.349628
          36     0.349627
          37      0.34961
          38     0.349629
          39     0.349613
          40     0.349647
