#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1              14.1971              14.1971                    0
           2              14.1553              14.1762            0.0147646
           3              14.1629              14.1718            0.0104923
           4              14.2562              14.1929            0.0199062
           5              14.1451              14.1833            0.0180716
           6              14.1419              14.1764            0.0163285
           7              14.2969              14.1936            0.0212037
           8              14.2332              14.1986            0.0191214
           9              14.3237              14.2125             0.021465
          10              14.1212              14.2034            0.0211691
          11              14.1825              14.2015            0.0193292
          12              14.2802               14.208            0.0188002
          13              14.2209               14.209            0.0173802
          14              14.1766              14.2067            0.0162921
          15              14.2486              14.2095            0.0154439
          16              14.1486              14.2057              0.01494
          17              14.2792                14.21            0.0146743
          18              14.2088                14.21            0.0138592
          19              14.2744              14.2133            0.0135381
          20              14.1957              14.2125            0.0128898
          21              14.1498              14.2095            0.0126165
          22              14.1569              14.2071            0.0122677
          23              14.3407              14.2129            0.0130378
          24              14.2931              14.2162            0.0129162
          25              14.1267              14.2127            0.0128867
          26              14.2134              14.2127            0.0123911
          27              14.3233              14.2168            0.0125907
          28               14.089              14.2122             0.012942
          29              14.3996              14.2187            0.0140159
          30              14.3356              14.2226            0.0140805
