#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              117.059              117.059                    0
           2              116.791              116.925            0.0948563
           3              119.472              117.774             0.696063
           4              119.381              118.176             0.627404
           5              118.943              118.329             0.520323
           6               119.61              118.543             0.475365
           7              121.354              118.944             0.551579
           8              121.969              119.322             0.598343
           9              119.822              119.378             0.534426
          10              118.371              119.277             0.490381
          11              119.077              119.259             0.446138
          12              118.449              119.191             0.414031
          13              119.496              119.215             0.382847
          14               118.19              119.142             0.362433
          15              120.165               119.21             0.344631
          16              116.457              119.038             0.363502
          17              118.679              119.017             0.342733
          18              118.782              119.004             0.323941
          19              119.216              119.015             0.307085
          20              118.264              118.977             0.294019
          21              120.651              119.057              0.29062
          22               120.26              119.112             0.282511
          23              118.634              119.091             0.270989
          24              118.067              119.048             0.263036
          25              120.773              119.117             0.261406
          26              120.808              119.182             0.259311
          27              119.289              119.186             0.249737
          28               120.57              119.236              0.24566
          29              121.583              119.317             0.250172
          30              121.207               119.38             0.249643
