#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1             -0.57121             -0.57121                    0
           2            -0.571547            -0.571379          0.000119077
           3            -0.572674            -0.571811          0.000361443
           4            -0.571906            -0.571835          0.000271874
           5            -0.570847            -0.571637          0.000280186
           6            -0.572077             -0.57171          0.000242883
           7             -0.57116            -0.571632          0.000220545
           8            -0.572526            -0.571744          0.000219505
           9            -0.571991            -0.571771          0.000196832
          10            -0.572042            -0.571798          0.000179009
          11            -0.571956            -0.571813          0.000163309
          12            -0.570992            -0.571744           0.00016339
          13            -0.570073            -0.571616          0.000194951
          14            -0.571743            -0.571625          0.000181238
          15            -0.571702             -0.57163          0.000169228
          16            -0.571367            -0.571613          0.000159446
          17            -0.572034            -0.571638           0.00015197
          18             -0.57257             -0.57169          0.000152082
          19            -0.571265            -0.571668          0.000145714
          20            -0.571252            -0.571647          0.000139902
          21            -0.572003            -0.571664          0.000134266
          22            -0.571912            -0.571675          0.000128636
          23            -0.570961            -0.571644          0.000126736
          24            -0.570837             -0.57161          0.000125839
          25            -0.572571            -0.571649          0.000126539
          26            -0.571422             -0.57164          0.000121973
          27             -0.57157            -0.571637          0.000117483
          28            -0.572494            -0.571668          0.000117206
          29            -0.571964            -0.571678          0.000113608
          30            -0.571109            -0.571659          0.000111396
