#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1              22.1537              22.1537                    0
           2              21.9329              22.0433            0.0780563
           3              22.2839              22.1235            0.0836361
           4              22.1167              22.1218            0.0627445
           5              21.9448              22.0864            0.0593504
           6              22.2457               22.113            0.0550794
           7              21.4485               22.018            0.0997609
           8              21.9884              22.0143            0.0873595
           9              22.2655              22.0422            0.0819882
          10              21.1089              21.9489             0.115259
          11              22.9629              22.0411             0.136764
          12              20.8423              21.9412             0.157688
          13              21.9126               21.939             0.145574
          14              22.0905              21.9498             0.135578
          15              21.4663              21.9176             0.130314
          16              22.0828              21.9279             0.122578
          17              21.4408              21.8992             0.118669
          18              22.5274              21.9341             0.117095
          19              21.8871              21.9317             0.110958
          20              22.3987               21.955             0.107839
          21              21.3529              21.9263             0.106447
          22              22.3937              21.9476             0.103706
          23              22.1726              21.9574            0.0996576
          24              21.5268              21.9394            0.0971066
          25                 21.9              21.9378            0.0932352
          26              21.8221              21.9334            0.0897554
          27              22.2807              21.9463            0.0873482
          28              21.0764              21.9152            0.0895835
          29              22.4784              21.9346            0.0885747
          30              22.0928              21.9399            0.0857789
          31              21.9711              21.9409            0.0830178
          32              22.3808              21.9546            0.0815537
          33              22.5212              21.9718            0.0808695
          34              22.1279              21.9764            0.0786212
          35              21.3693              21.9591            0.0782648
          36              22.0383              21.9613            0.0761217
          37              21.5161              21.9492            0.0750093
          38              21.7077              21.9429            0.0733043
          39              22.2353              21.9504            0.0718072
          40              22.1964              21.9565            0.0702748
