#   N_BLOCK:  ACCEPTANCE:
           1     0.192922
           2     0.193115
           3     0.192719
           4       0.1927
           5     0.192564
           6     0.192352
           7     0.192422
           8     0.192735
           9     0.192937
          10     0.192837
          11     0.193101
          12     0.192886
          13     0.192779
          14     0.192994
          15     0.193004
          16     0.193008
          17     0.193004
          18     0.193038
          19     0.192958
          20     0.192933
          21     0.192999
          22      0.19297
          23     0.193095
          24     0.193182
          25     0.193176
          26     0.193099
          27      0.19309
          28     0.193115
          29     0.193081
          30     0.193077
          31     0.193053
          32     0.193041
          33     0.193038
          34     0.193046
          35     0.193127
          36     0.193143
          37     0.193167
          38     0.193138
          39     0.193157
          40     0.193204
