#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1              10.3729              10.3729                    0
           2              10.8026              10.5877             0.151922
           3               9.0054              10.0603              0.44241
           4              11.6678              10.4622             0.480858
           5                9.045              10.1787             0.460708
           6              11.3261                10.37             0.421746
           7               11.391              10.5158             0.385897
           8               9.8841              10.4369             0.345645
           9               9.8542              10.3721             0.313244
          10                9.692              10.3041             0.289209
          11              10.6936              10.3395             0.265076
          12              10.4373              10.3477             0.243111
          13              10.9392              10.3932             0.228629
          14              10.0529              10.3689             0.213587
          15               10.429              10.3729             0.199385
          16              10.6424              10.3897             0.187634
          17               9.8496              10.3579             0.179266
          18              10.3442              10.3572             0.169309
          19              10.8374              10.3825             0.162273
          20              10.1678              10.3717             0.154514
          21              12.0113              10.4498             0.165712
          22               9.4888              10.4061             0.163836
          23              10.1167              10.3935             0.157195
          24              10.2843               10.389             0.150711
          25              11.2479              10.4233             0.148547
          26              11.5037              10.4649             0.148531
          27              11.0347               10.486             0.144522
          28              10.8854              10.5003             0.140063
          29               8.9946              10.4483             0.144536
          30                8.983              10.3995             0.147741
          31              10.5496              10.4043             0.143054
          32              10.2307              10.3989             0.138687
          33               9.4303              10.3696             0.137555
          34              12.1001              10.4205             0.142616
          35              10.4865              10.4223             0.138553
          36                8.126              10.3586             0.148664
          37              11.4622              10.3884             0.147609
          38               9.8877              10.3752             0.144311
          39               9.8465              10.3617             0.141246
          40               8.3466              10.3113             0.146423
